objectname	averageRating	avgweight	rank	minplayers	maxplayers	playingtime	bestNumberOfPlayers
Battleship	4.53779	1.2433	13229	2	2	30	2
Betrayal at House on the Hill	7.14338	2.3556	344	3	6	60	"5,6"
The Bloody Inn	7.00481	2.3607	679	1	4	60	4
Codenames	7.95985	1.3816	20	2	8	15	"6,8"
Cranium	5.70043	1.4495	5416	4	16	60	8
Dead of Winter: A Crossroads Game	7.90289	3.002	31	2	5	210	4
Escape: The Curse of the Temple â€“ Big Box	7.75445	1.4595	0	1	6	10	4
Farkle	5.49723	1.1261	12329	2	8	30	"3,4"
Food Chain Magnate	8.28135	4.2	30	2	5	240	"3,4"
International Oilman Game	5.86231	2.5556	9892	2	8	120	
Last Night on Earth: The Zombie Game	7.04087	2.2873	442	2	6	90	5
Lost: The Game	3.79951	2.4583	13180	2	8	60	
Monopoly: Vintage Game Collection	5.31928	1.3333	11743	2	6	180	
Pandemic: Iberia	8.3	2.44	595	1	5	45	4
Quantum	7.34871	2.4503	327	2	4	60	4
The Resistance	7.44565	1.6386	125	5	10	30	7
Sapiens	6.70427	2.6	2590	2	4	45	"2,3,4"
Scythe	8.3717	3.3094	6	1	5	115	4
Sheriff of Nottingham	7.37169	1.6897	175	3	5	60	5
T.I.M.E Stories	8.0996	2.6926	26	2	4	90	4
T.I.M.E Stories: A Prophecy of Dragons	7.99202	2.5517	0	2	4	180	4
T.I.M.E Stories: The Marcy Case	7.95214	2.5778	0	2	4	90	4
Trickerion: Legends of Illusion	7.88299	4.0108	209	2	4	120	4
UNO	5.32567	1.1342	13124	2	10	30	"4,5,6"
Urban Myth	3.44232	1.2105	13173	2	6	45	
Vast: The Crystal Caverns	7.54621	3.1429	1065	1	5	75	4
Wits & Wagers	6.99285	1.2232	443	3	7	25	"6,7"
Yahtzee	5.25501	1.1962	13148	2	10	30	"3,4"
